year,date,participants,tot_spp,hours
58,12/29/57,6,75,16
60,12/27/59,13,108,25
61,12/28/60,13,96,12.5
62,12/30/61,14,102,40
63,12/29/62,8,93,11
64,12/21/63,24,113,55
65,12/22/64,13,104,42
66,12/28/65,12,112,30
67,12/21/66,16,123,47
68,12/30/67,13,103,26
69,12/23/68,9,103,26
70,12/20/69,22,121,37
71,12/22/70,18,119,46
72,12/18/71,24,125,73
73,12/27/72,25,132,68
74,12/16/73,23,131,84
75,12/15/74,36,134,98
76,12/28/75,42,143,135
77,12/19/76,63,144,180
78,12/18/77,74,150,167.5
79,12/17/78,60,137,146.5
80,12/16/79,57,140,140
81,12/21/80,44,135,103.5
82,12/20/81,47,137,96
83,12/19/82,52,130,121.5
84,12/18/83,67,140,149
85,12/16/84,61,142,149.5
86,12/22/85,45,139,133.1
87,12/21/86,62,140,151
88,12/20/87,60,137,164.5
89,12/18/88,67,135,165
90,12/17/89,63,150,188
91,12/16/90,67,142,186
92,12/15/91,67,137,186.5
93,12/20/92,79,143,217.75
94,12/19/93,69,140,189.75
95,12/18/94,66,128,181
96,12/17/95,59,138,171.25
97,12/22/96,56,141,176.25
98,12/21/97,53,142,163.5
99,12/20/98,54,144,172.5
100,12/19/99,58,149,173.25
101,12/17/00,68,148,187.25
102,12/16/01,65,139,180
103,12/15/02,65,152,191
104,12/14/03,70,148,186
105,12/19/04,70,156,193.75
106,12/18/05,76,147,171.5
107,12/17/06,90,159,212
108,12/16/07,84,151,240.5
109,12/14/08,88,162,256.25
110,12/20/09,98,156,251.75
111,12/19/10,101,160,302
112,12/18/11,100,158,159
113,12/16/12,97,163,298.5
114,12/15/13,95,159,219.5
115,12/14/14,107,151,275.65
116,12/20/15,106,162,249.04
117,12/18/16,106,166,278.05
118,12/17/17,123,157,293.65
